OA_2011,NHOOD_CODE,NHOOD_NAME
E00039953,1,High Green
E00039954,1,High Green
E00039955,1,High Green
E00039956,1,High Green
E00039957,1,High Green
E00039958,1,High Green
E00039961,1,High Green
E00039963,1,High Green
E00039990,1,High Green
E00039993,1,High Green
E00039994,1,High Green
E00039995,1,High Green
E00039996,1,High Green
E00039997,1,High Green
E00039998,1,High Green
E00040000,1,High Green
E00040001,1,High Green
E00040002,1,High Green
E00040003,1,High Green
E00040004,1,High Green
E00040005,1,High Green
E00040006,1,High Green
E00040007,1,High Green
E00040008,1,High Green
E00040009,1,High Green
E00040010,1,High Green
E00040011,1,High Green
E00040013,1,High Green
E00040016,1,High Green
E00172527,1,High Green
E00172543,1,High Green
E00172544,1,High Green
E00039965,2,Burncross
E00039966,2,Burncross
E00039968,2,Burncross
E00039971,2,Burncross
E00039973,2,Burncross
E00039974,2,Burncross
E00039978,2,Burncross
E00039981,2,Burncross
E00039982,2,Burncross
E00039983,2,Burncross
E00039985,2,Burncross
E00039986,2,Burncross
E00040019,2,Burncross
E00040021,2,Burncross
E00039947,3,Chapeltown
E00039948,3,Chapeltown
E00039949,3,Chapeltown
E00039950,3,Chapeltown
E00039951,3,Chapeltown
E00039952,3,Chapeltown
E00039962,3,Chapeltown
E00039964,3,Chapeltown
E00039967,3,Chapeltown
E00039969,3,Chapeltown
E00039970,3,Chapeltown
E00039972,3,Chapeltown
E00039975,3,Chapeltown
E00039976,3,Chapeltown
E00039977,3,Chapeltown
E00039979,3,Chapeltown
E00039980,3,Chapeltown
E00039984,3,Chapeltown
E00039987,3,Chapeltown
E00039988,3,Chapeltown
E00039989,3,Chapeltown
E00039991,3,Chapeltown
E00039992,3,Chapeltown
E00039999,3,Chapeltown
E00040012,3,Chapeltown
E00040014,3,Chapeltown
E00040015,3,Chapeltown
E00040017,3,Chapeltown
E00040018,3,Chapeltown
E00040020,3,Chapeltown
E00172516,3,Chapeltown
E00172517,3,Chapeltown
E00172538,3,Chapeltown
E00041223,4,Ecclesfield
E00041224,4,Ecclesfield
E00041225,4,Ecclesfield
E00041226,4,Ecclesfield
E00041230,4,Ecclesfield
E00041231,4,Ecclesfield
E00041234,4,Ecclesfield
E00041235,4,Ecclesfield
E00041237,4,Ecclesfield
E00041243,4,Ecclesfield
E00041244,4,Ecclesfield
E00041245,4,Ecclesfield
E00041247,4,Ecclesfield
E00041248,4,Ecclesfield
E00041249,4,Ecclesfield
E00172530,4,Ecclesfield
E00172536,4,Ecclesfield
E00041221,5,Grenoside
E00041222,5,Grenoside
E00041227,5,Grenoside
E00041228,5,Grenoside
E00041229,5,Grenoside
E00041233,5,Grenoside
E00041236,5,Grenoside
E00041238,5,Grenoside
E00041239,5,Grenoside
E00041240,5,Grenoside
E00041241,5,Grenoside
E00041242,5,Grenoside
E00041246,5,Grenoside
E00041250,5,Grenoside
E00041251,5,Grenoside
E00039747,6,Shiregreen
E00039756,6,Shiregreen
E00039757,6,Shiregreen
E00039777,6,Shiregreen
E00039779,6,Shiregreen
E00039780,6,Shiregreen
E00039781,6,Shiregreen
E00039782,6,Shiregreen
E00039783,6,Shiregreen
E00039784,6,Shiregreen
E00039785,6,Shiregreen
E00040804,6,Shiregreen
E00040808,6,Shiregreen
E00040812,6,Shiregreen
E00040813,6,Shiregreen
E00040814,6,Shiregreen
E00040817,6,Shiregreen
E00040819,6,Shiregreen
E00040820,6,Shiregreen
E00040821,6,Shiregreen
E00040824,6,Shiregreen
E00040825,6,Shiregreen
E00040828,6,Shiregreen
E00040829,6,Shiregreen
E00040832,6,Shiregreen
E00040834,6,Shiregreen
E00040835,6,Shiregreen
E00040838,6,Shiregreen
E00040839,6,Shiregreen
E00040840,6,Shiregreen
E00040841,6,Shiregreen
E00040842,6,Shiregreen
E00040843,6,Shiregreen
E00040844,6,Shiregreen
E00040846,6,Shiregreen
E00040847,6,Shiregreen
E00041124,7,New Parson Cross
E00041125,7,New Parson Cross
E00041126,7,New Parson Cross
E00041137,7,New Parson Cross
E00041138,7,New Parson Cross
E00041139,7,New Parson Cross
E00041140,7,New Parson Cross
E00041142,7,New Parson Cross
E00041143,7,New Parson Cross
E00041145,7,New Parson Cross
E00041146,7,New Parson Cross
E00041147,7,New Parson Cross
E00041148,7,New Parson Cross
E00041151,7,New Parson Cross
E00041152,7,New Parson Cross
E00041155,7,New Parson Cross
E00172479,7,New Parson Cross
E00040805,8,Colley
E00040806,8,Colley
E00040807,8,Colley
E00040815,8,Colley
E00040816,8,Colley
E00040818,8,Colley
E00040822,8,Colley
E00040823,8,Colley
E00040826,8,Colley
E00040827,8,Colley
E00040830,8,Colley
E00040831,8,Colley
E00040833,8,Colley
E00040836,8,Colley
E00040837,8,Colley
E00039748,9,Wincobank
E00039759,9,Wincobank
E00039760,9,Wincobank
E00039761,9,Wincobank
E00039763,9,Wincobank
E00039778,9,Wincobank
E00039786,9,Wincobank
E00039787,9,Wincobank
E00039789,9,Wincobank
E00039791,9,Wincobank
E00039792,9,Wincobank
E00039794,9,Wincobank
E00039795,9,Wincobank
E00039797,9,Wincobank
E00039798,9,Wincobank
E00039799,9,Wincobank
E00039750,10,Brightside
E00039751,10,Brightside
E00039752,10,Brightside
E00039753,10,Brightside
E00039754,10,Brightside
E00039755,10,Brightside
E00039768,10,Brightside
E00039770,10,Brightside
E00039771,10,Brightside
E00039772,10,Brightside
E00039773,10,Brightside
E00039774,10,Brightside
E00039775,10,Brightside
E00039776,10,Brightside
E00039749,11,Flower
E00039758,11,Flower
E00039762,11,Flower
E00039765,11,Flower
E00039766,11,Flower
E00039767,11,Flower
E00039788,11,Flower
E00039796,11,Flower
E00039793,12,Stubbin / Brushes
E00040257,12,Stubbin / Brushes
E00040258,12,Stubbin / Brushes
E00040261,12,Stubbin / Brushes
E00040266,12,Stubbin / Brushes
E00040270,12,Stubbin / Brushes
E00040271,12,Stubbin / Brushes
E00040801,12,Stubbin / Brushes
E00040803,12,Stubbin / Brushes
E00040810,12,Stubbin / Brushes
E00040811,12,Stubbin / Brushes
E00040850,12,Stubbin / Brushes
E00040852,12,Stubbin / Brushes
E00172545,12,Stubbin / Brushes
E00172546,12,Stubbin / Brushes
E00039764,13,Firth Park
E00039769,13,Firth Park
E00040229,13,Firth Park
E00040232,13,Firth Park
E00039871,14,Fir Vale
E00039872,14,Fir Vale
E00039873,14,Fir Vale
E00039878,14,Fir Vale
E00040216,14,Fir Vale
E00040218,14,Fir Vale
E00040236,14,Fir Vale
E00040237,14,Fir Vale
E00040238,14,Fir Vale
E00040239,14,Fir Vale
E00040240,14,Fir Vale
E00040241,14,Fir Vale
E00040242,14,Fir Vale
E00040245,14,Fir Vale
E00040247,14,Fir Vale
E00040248,14,Fir Vale
E00040249,14,Fir Vale
E00040250,14,Fir Vale
E00040252,14,Fir Vale
E00040253,14,Fir Vale
E00172424,14,Fir Vale
E00172425,14,Fir Vale
E00172430,14,Fir Vale
E00041254,15,Stocksbridge
E00041256,15,Stocksbridge
E00041258,15,Stocksbridge
E00041259,15,Stocksbridge
E00041260,15,Stocksbridge
E00041261,15,Stocksbridge
E00041262,15,Stocksbridge
E00041263,15,Stocksbridge
E00041264,15,Stocksbridge
E00041269,15,Stocksbridge
E00041270,15,Stocksbridge
E00041274,15,Stocksbridge
E00041275,15,Stocksbridge
E00041279,15,Stocksbridge
E00041283,15,Stocksbridge
E00041284,15,Stocksbridge
E00041285,15,Stocksbridge
E00041286,15,Stocksbridge
E00041287,15,Stocksbridge
E00041288,15,Stocksbridge
E00041289,15,Stocksbridge
E00041290,15,Stocksbridge
E00041291,15,Stocksbridge
E00041292,15,Stocksbridge
E00041293,15,Stocksbridge
E00041296,15,Stocksbridge
E00041252,16,Deepcar
E00041253,16,Deepcar
E00041255,16,Deepcar
E00041257,16,Deepcar
E00041265,16,Deepcar
E00041266,16,Deepcar
E00041267,16,Deepcar
E00041268,16,Deepcar
E00041271,16,Deepcar
E00041272,16,Deepcar
E00041276,16,Deepcar
E00041277,16,Deepcar
E00041278,16,Deepcar
E00041280,16,Deepcar
E00041281,16,Deepcar
E00041282,16,Deepcar
E00041294,16,Deepcar
E00041295,16,Deepcar
E00041297,16,Deepcar
E00040800,17,Old Parson Cross
E00040802,17,Old Parson Cross
E00040845,17,Old Parson Cross
E00040848,17,Old Parson Cross
E00040849,17,Old Parson Cross
E00040851,17,Old Parson Cross
E00040854,17,Old Parson Cross
E00040967,17,Old Parson Cross
E00040976,17,Old Parson Cross
E00040994,17,Old Parson Cross
E00041123,17,Old Parson Cross
E00041128,17,Old Parson Cross
E00041129,17,Old Parson Cross
E00041132,17,Old Parson Cross
E00041149,17,Old Parson Cross
E00041150,17,Old Parson Cross
E00041153,17,Old Parson Cross
E00041154,17,Old Parson Cross
E00041157,17,Old Parson Cross
E00041158,17,Old Parson Cross
E00041159,17,Old Parson Cross
E00041160,17,Old Parson Cross
E00041161,17,Old Parson Cross
E00041162,17,Old Parson Cross
E00041163,17,Old Parson Cross
E00041164,17,Old Parson Cross
E00041165,17,Old Parson Cross
E00041166,17,Old Parson Cross
E00041167,17,Old Parson Cross
E00041169,17,Old Parson Cross
E00041171,17,Old Parson Cross
E00172486,17,Old Parson Cross
E00040221,18,Longley
E00040223,18,Longley
E00040224,18,Longley
E00040225,18,Longley
E00040226,18,Longley
E00040227,18,Longley
E00040231,18,Longley
E00040234,18,Longley
E00040254,18,Longley
E00040255,18,Longley
E00040256,18,Longley
E00040259,18,Longley
E00040260,18,Longley
E00040262,18,Longley
E00040263,18,Longley
E00040264,18,Longley
E00040265,18,Longley
E00040267,18,Longley
E00040269,18,Longley
E00040809,18,Longley
E00040853,18,Longley
E00040106,19,Rural Area
E00040296,19,Rural Area
E00041175,19,Rural Area
E00041195,19,Rural Area
E00041197,19,Rural Area
E00041198,19,Rural Area
E00041199,19,Rural Area
E00041273,19,Rural Area
E00041326,19,Rural Area
E00039876,20,Shirecliffe
E00040217,20,Shirecliffe
E00040219,20,Shirecliffe
E00040230,20,Shirecliffe
E00040235,20,Shirecliffe
E00040243,20,Shirecliffe
E00040244,20,Shirecliffe
E00040246,20,Shirecliffe
E00040251,20,Shirecliffe
E00041006,20,Shirecliffe
E00041008,20,Shirecliffe
E00041011,20,Shirecliffe
E00041012,20,Shirecliffe
E00041013,20,Shirecliffe
E00041014,20,Shirecliffe
E00041015,20,Shirecliffe
E00040222,21,Southey Green
E00040228,21,Southey Green
E00040233,21,Southey Green
E00040268,21,Southey Green
E00040969,21,Southey Green
E00040970,21,Southey Green
E00040972,21,Southey Green
E00040973,21,Southey Green
E00040999,21,Southey Green
E00041000,21,Southey Green
E00041002,21,Southey Green
E00041003,21,Southey Green
E00041004,21,Southey Green
E00041130,21,Southey Green
E00041131,21,Southey Green
E00041133,21,Southey Green
E00041134,21,Southey Green
E00041135,21,Southey Green
E00041136,21,Southey Green
E00041168,21,Southey Green
E00041176,22,Oughtibridge
E00041177,22,Oughtibridge
E00041183,22,Oughtibridge
E00041184,22,Oughtibridge
E00041185,22,Oughtibridge
E00041186,22,Oughtibridge
E00041187,22,Oughtibridge
E00041188,22,Oughtibridge
E00041189,22,Oughtibridge
E00041190,22,Oughtibridge
E00041219,22,Oughtibridge
E00041220,22,Oughtibridge
E00041174,23,Wharncliffe Side
E00041215,23,Wharncliffe Side
E00041216,23,Wharncliffe Side
E00041217,23,Wharncliffe Side
E00041218,23,Wharncliffe Side
E00041179,24,Worrall
E00041192,24,Worrall
E00041193,24,Worrall
E00172455,24,Worrall
E00172518,24,Worrall
E00040971,25,Middlewood
E00040974,25,Middlewood
E00040997,25,Middlewood
E00040998,25,Middlewood
E00041001,25,Middlewood
E00041005,25,Middlewood
E00041007,25,Middlewood
E00041009,25,Middlewood
E00041010,25,Middlewood
E00172456,25,Middlewood
E00172457,25,Middlewood
E00172519,25,Middlewood
E00172520,25,Middlewood
E00172521,25,Middlewood
E00172522,25,Middlewood
E00172523,25,Middlewood
E00040968,26,Fox Hill
E00040977,26,Fox Hill
E00040978,26,Fox Hill
E00040979,26,Fox Hill
E00040980,26,Fox Hill
E00040981,26,Fox Hill
E00040982,26,Fox Hill
E00040983,26,Fox Hill
E00040984,26,Fox Hill
E00040985,26,Fox Hill
E00040986,26,Fox Hill
E00040987,26,Fox Hill
E00040988,26,Fox Hill
E00040989,26,Fox Hill
E00040990,26,Fox Hill
E00040991,26,Fox Hill
E00040992,26,Fox Hill
E00040993,26,Fox Hill
E00040995,26,Fox Hill
E00040996,26,Fox Hill
E00040462,27,Wadsley
E00040464,27,Wadsley
E00040480,27,Wadsley
E00040507,27,Wadsley
E00040508,27,Wadsley
E00040509,27,Wadsley
E00040510,27,Wadsley
E00040511,27,Wadsley
E00040512,27,Wadsley
E00040513,27,Wadsley
E00040514,27,Wadsley
E00040515,27,Wadsley
E00040516,27,Wadsley
E00040517,27,Wadsley
E00040519,27,Wadsley
E00040520,27,Wadsley
E00040521,27,Wadsley
E00040522,27,Wadsley
E00041180,28,Loxley
E00041181,28,Loxley
E00041182,28,Loxley
E00041196,28,Loxley
E00041200,28,Loxley
E00041201,28,Loxley
E00040465,29,Wisewood
E00040466,29,Wisewood
E00040468,29,Wisewood
E00040472,29,Wisewood
E00040474,29,Wisewood
E00040481,29,Wisewood
E00040482,29,Wisewood
E00040484,29,Wisewood
E00040487,29,Wisewood
E00040488,29,Wisewood
E00040491,29,Wisewood
E00040493,29,Wisewood
E00040463,30,Hillsborough
E00040467,30,Hillsborough
E00040469,30,Hillsborough
E00040470,30,Hillsborough
E00040471,30,Hillsborough
E00040473,30,Hillsborough
E00040483,30,Hillsborough
E00040485,30,Hillsborough
E00040486,30,Hillsborough
E00040489,30,Hillsborough
E00040490,30,Hillsborough
E00040492,30,Hillsborough
E00040494,30,Hillsborough
E00040495,30,Hillsborough
E00040496,30,Hillsborough
E00040497,30,Hillsborough
E00040498,30,Hillsborough
E00040499,30,Hillsborough
E00040518,30,Hillsborough
E00040523,30,Hillsborough
E00040524,30,Hillsborough
E00041016,30,Hillsborough
E00041017,30,Hillsborough
E00041018,30,Hillsborough
E00041019,30,Hillsborough
E00039856,31,Firshill
E00039879,31,Firshill
E00039881,31,Firshill
E00039885,31,Firshill
E00039886,31,Firshill
E00039888,31,Firshill
E00039892,31,Firshill
E00039854,32,Woodside
E00039861,32,Woodside
E00039863,32,Woodside
E00039864,32,Woodside
E00039865,32,Woodside
E00039867,32,Woodside
E00039868,32,Woodside
E00039869,32,Woodside
E00039870,32,Woodside
E00039895,32,Woodside
E00172429,32,Woodside
E00172433,32,Woodside
E00172434,32,Woodside
E00172513,32,Woodside
E00172514,32,Woodside
E00172515,32,Woodside
E00039851,33,Abbeyfield
E00039853,33,Abbeyfield
E00039882,33,Abbeyfield
E00039883,33,Abbeyfield
E00039884,33,Abbeyfield
E00039887,33,Abbeyfield
E00039889,33,Abbeyfield
E00039890,33,Abbeyfield
E00039852,34,Burngreave
E00039858,34,Burngreave
E00039859,34,Burngreave
E00039860,34,Burngreave
E00039862,34,Burngreave
E00039866,34,Burngreave
E00039877,34,Burngreave
E00039880,34,Burngreave
E00039891,34,Burngreave
E00039893,34,Burngreave
E00039894,34,Burngreave
E00039896,34,Burngreave
E00172428,34,Burngreave
E00172431,34,Burngreave
E00040027,35,Tinsley
E00040028,35,Tinsley
E00040029,35,Tinsley
E00040030,35,Tinsley
E00040037,35,Tinsley
E00040038,35,Tinsley
E00040039,35,Tinsley
E00040040,35,Tinsley
E00040041,35,Tinsley
E00040042,35,Tinsley
E00040083,35,Tinsley
E00040084,35,Tinsley
E00040085,35,Tinsley
E00039898,36,Darnall
E00039943,36,Darnall
E00039944,36,Darnall
E00039945,36,Darnall
E00040031,36,Darnall
E00040033,36,Darnall
E00040044,36,Darnall
E00040045,36,Darnall
E00040046,36,Darnall
E00040047,36,Darnall
E00040048,36,Darnall
E00040049,36,Darnall
E00040050,36,Darnall
E00040051,36,Darnall
E00040052,36,Darnall
E00040053,36,Darnall
E00040054,36,Darnall
E00040056,36,Darnall
E00040057,36,Darnall
E00040058,36,Darnall
E00172426,36,Darnall
E00172453,36,Darnall
E00172489,36,Darnall
E00172491,36,Darnall
E00040034,37,Housteads
E00040035,37,Housteads
E00040043,37,Housteads
E00040059,37,Housteads
E00040060,37,Housteads
E00040061,37,Housteads
E00040062,37,Housteads
E00040063,37,Housteads
E00040064,37,Housteads
E00040065,37,Housteads
E00040066,37,Housteads
E00040067,37,Housteads
E00040068,37,Housteads
E00040022,38,Handsworth
E00040023,38,Handsworth
E00040024,38,Handsworth
E00040025,38,Handsworth
E00040026,38,Handsworth
E00040069,38,Handsworth
E00040070,38,Handsworth
E00040071,38,Handsworth
E00040072,38,Handsworth
E00040073,38,Handsworth
E00040074,38,Handsworth
E00040075,38,Handsworth
E00040076,38,Handsworth
E00040077,38,Handsworth
E00040078,38,Handsworth
E00040079,38,Handsworth
E00040080,38,Handsworth
E00040081,38,Handsworth
E00040082,38,Handsworth
E00040334,38,Handsworth
E00040335,38,Handsworth
E00040336,38,Handsworth
E00040337,38,Handsworth
E00040357,38,Handsworth
E00040389,38,Handsworth
E00040390,38,Handsworth
E00040391,38,Handsworth
E00040392,38,Handsworth
E00040393,38,Handsworth
E00040394,38,Handsworth
E00040395,38,Handsworth
E00040396,38,Handsworth
E00040397,38,Handsworth
E00172490,38,Handsworth
E00172535,38,Handsworth
E00040338,39,Woodhouse
E00040339,39,Woodhouse
E00040340,39,Woodhouse
E00040342,39,Woodhouse
E00040343,39,Woodhouse
E00040345,39,Woodhouse
E00040346,39,Woodhouse
E00040347,39,Woodhouse
E00040348,39,Woodhouse
E00040351,39,Woodhouse
E00040352,39,Woodhouse
E00040355,39,Woodhouse
E00040356,39,Woodhouse
E00040358,39,Woodhouse
E00040359,39,Woodhouse
E00040361,39,Woodhouse
E00040362,39,Woodhouse
E00040363,39,Woodhouse
E00040366,39,Woodhouse
E00040369,39,Woodhouse
E00040371,39,Woodhouse
E00040373,39,Woodhouse
E00040375,39,Woodhouse
E00040376,39,Woodhouse
E00040377,39,Woodhouse
E00040378,39,Woodhouse
E00040380,39,Woodhouse
E00040381,39,Woodhouse
E00040382,39,Woodhouse
E00040383,39,Woodhouse
E00040384,39,Woodhouse
E00040385,39,Woodhouse
E00040386,39,Woodhouse
E00040388,39,Woodhouse
E00040398,39,Woodhouse
E00172525,39,Woodhouse
E00172541,39,Woodhouse
E00040637,40,Halfway
E00040639,40,Halfway
E00040640,40,Halfway
E00040641,40,Halfway
E00040681,40,Halfway
E00040684,40,Halfway
E00040689,40,Halfway
E00040691,40,Halfway
E00040693,40,Halfway
E00040694,40,Halfway
E00040695,40,Halfway
E00172402,40,Halfway
E00172437,40,Halfway
E00172438,40,Halfway
E00040631,41,Westfield
E00040633,41,Westfield
E00040663,41,Westfield
E00040664,41,Westfield
E00040665,41,Westfield
E00040666,41,Westfield
E00040672,41,Westfield
E00040674,41,Westfield
E00040675,41,Westfield
E00040676,41,Westfield
E00040677,41,Westfield
E00040679,41,Westfield
E00172435,41,Westfield
E00172436,41,Westfield
E00040650,42,Sothall
E00040652,42,Sothall
E00040653,42,Sothall
E00040654,42,Sothall
E00040658,42,Sothall
E00040659,42,Sothall
E00040660,42,Sothall
E00040671,42,Sothall
E00040716,42,Sothall
E00040720,42,Sothall
E00040726,42,Sothall
E00040727,42,Sothall
E00040732,42,Sothall
E00040738,42,Sothall
E00040740,42,Sothall
E00040741,42,Sothall
E00040657,43,Waterthorpe
E00040661,43,Waterthorpe
E00040667,43,Waterthorpe
E00040717,43,Waterthorpe
E00040725,43,Waterthorpe
E00040729,43,Waterthorpe
E00040730,43,Waterthorpe
E00040734,43,Waterthorpe
E00040736,43,Waterthorpe
E00040737,43,Waterthorpe
E00040739,43,Waterthorpe
E00040742,43,Waterthorpe
E00040743,43,Waterthorpe
E00040744,43,Waterthorpe
E00040745,43,Waterthorpe
E00040642,44,Beighton
E00040643,44,Beighton
E00040644,44,Beighton
E00040645,44,Beighton
E00040646,44,Beighton
E00040648,44,Beighton
E00040649,44,Beighton
E00040696,44,Beighton
E00040697,44,Beighton
E00040698,44,Beighton
E00040699,44,Beighton
E00040700,44,Beighton
E00040702,44,Beighton
E00040703,44,Beighton
E00040708,44,Beighton
E00040710,44,Beighton
E00040714,44,Beighton
E00040715,44,Beighton
E00040724,44,Beighton
E00040632,45,Mosborough
E00040634,45,Mosborough
E00040635,45,Mosborough
E00040638,45,Mosborough
E00040668,45,Mosborough
E00040669,45,Mosborough
E00040670,45,Mosborough
E00040673,45,Mosborough
E00040678,45,Mosborough
E00040682,45,Mosborough
E00040683,45,Mosborough
E00040685,45,Mosborough
E00040686,45,Mosborough
E00040687,45,Mosborough
E00040688,45,Mosborough
E00040690,45,Mosborough
E00165810,45,Mosborough
E00040651,46,Owlthorpe
E00040655,46,Owlthorpe
E00040656,46,Owlthorpe
E00040718,46,Owlthorpe
E00040719,46,Owlthorpe
E00040721,46,Owlthorpe
E00040722,46,Owlthorpe
E00040723,46,Owlthorpe
E00040728,46,Owlthorpe
E00040731,46,Owlthorpe
E00040733,46,Owlthorpe
E00040735,46,Owlthorpe
E00172403,46,Owlthorpe
E00172511,46,Owlthorpe
E00039683,47,Hackenthorpe
E00039684,47,Hackenthorpe
E00039685,47,Hackenthorpe
E00039686,47,Hackenthorpe
E00039687,47,Hackenthorpe
E00039699,47,Hackenthorpe
E00039702,47,Hackenthorpe
E00039735,47,Hackenthorpe
E00039738,47,Hackenthorpe
E00039742,47,Hackenthorpe
E00039745,47,Hackenthorpe
E00040647,47,Hackenthorpe
E00040701,47,Hackenthorpe
E00040704,47,Hackenthorpe
E00040705,47,Hackenthorpe
E00040706,47,Hackenthorpe
E00040707,47,Hackenthorpe
E00040709,47,Hackenthorpe
E00040711,47,Hackenthorpe
E00040712,47,Hackenthorpe
E00040713,47,Hackenthorpe
E00040341,48,Richmond
E00040344,48,Richmond
E00040349,48,Richmond
E00040350,48,Richmond
E00040353,48,Richmond
E00040354,48,Richmond
E00040360,48,Richmond
E00040364,48,Richmond
E00040365,48,Richmond
E00040368,48,Richmond
E00040370,48,Richmond
E00040372,48,Richmond
E00040374,48,Richmond
E00040379,48,Richmond
E00040387,48,Richmond
E00040530,49,Woodthorpe
E00040531,49,Woodthorpe
E00040532,49,Woodthorpe
E00040533,49,Woodthorpe
E00040566,49,Woodthorpe
E00040567,49,Woodthorpe
E00040568,49,Woodthorpe
E00040569,49,Woodthorpe
E00040570,49,Woodthorpe
E00040571,49,Woodthorpe
E00040572,49,Woodthorpe
E00040573,49,Woodthorpe
E00040574,49,Woodthorpe
E00040575,49,Woodthorpe
E00040576,49,Woodthorpe
E00040577,49,Woodthorpe
E00040578,49,Woodthorpe
E00040579,49,Woodthorpe
E00040580,49,Woodthorpe
E00040588,50,Manor
E00040592,50,Manor
E00040595,50,Manor
E00040603,50,Manor
E00040604,50,Manor
E00040606,50,Manor
E00040607,50,Manor
E00040608,50,Manor
E00040609,50,Manor
E00040610,50,Manor
E00040611,50,Manor
E00040612,50,Manor
E00040613,50,Manor
E00040614,50,Manor
E00040615,50,Manor
E00040616,50,Manor
E00040617,50,Manor
E00040618,50,Manor
E00040619,50,Manor
E00040620,50,Manor
E00040621,50,Manor
E00040622,50,Manor
E00040623,50,Manor
E00040624,50,Manor
E00040626,50,Manor
E00040628,50,Manor
E00040629,50,Manor
E00172432,50,Manor
E00172439,50,Manor
E00172440,50,Manor
E00172461,50,Manor
E00172462,50,Manor
E00172463,50,Manor
E00040589,51,Acres Hill
E00040590,51,Acres Hill
E00040591,51,Acres Hill
E00040596,51,Acres Hill
E00040597,51,Acres Hill
E00040598,51,Acres Hill
E00040599,51,Acres Hill
E00040600,51,Acres Hill
E00040601,51,Acres Hill
E00040602,51,Acres Hill
E00040605,51,Acres Hill
E00039897,52,Wybourn
E00039899,52,Wybourn
E00039902,52,Wybourn
E00039906,52,Wybourn
E00039907,52,Wybourn
E00039908,52,Wybourn
E00039911,52,Wybourn
E00039912,52,Wybourn
E00039913,52,Wybourn
E00039914,52,Wybourn
E00039917,52,Wybourn
E00039918,52,Wybourn
E00039919,52,Wybourn
E00039920,52,Wybourn
